,station,line,Longitude,Latitude
0,ALTO DEL ARENAL,1,-3.6452252835565764,40.38976870035243
6,ALVARADO,1,-3.7033178070796913,40.45033105413335
47,ANTON MARTIN,1,-3.6993757416732413,40.41246302818812
147,ATOCHA,1,-3.692490883566612,40.408846792956474
206,ATOCHA RENFE,1,-3.689379993715528,40.406586090726144
264,BAMBU,1,-3.676377276244711,40.47680705593772
272,BILBAO,1,-3.702188295886297,40.42904963582931
372,BUENOS AIRES,1,-3.6539143400014304,40.39155774604133
384,CHAMARTIN,1,-3.6825932781154513,40.4720227901636
427,CONGOSTO,1,-3.618850584099445,40.372381107450174
432,CUATRO CAMINOS,1,-3.703978476654022,40.44696667800756
509,ESTRECHO,1,-3.703028749396468,40.45427874922785
577,GRAN VIA,1,-3.701811363848994,40.42000685738866
677,IGLESIA,1,-3.698983453377392,40.43491591143403
767,LA GAVIA,1,-3.6134711039363103,40.37018451188382
774,LAS SUERTES,1,-3.5995338882203147,40.363221458113095
786,MENENDEZ PELAYO,1,-3.68099094552854,40.404446601213934
850,MIGUEL HERNANDEZ,1,-3.639511225386237,40.38731392982777
859,NUEVA NUMANCIA,1,-3.6641453517860403,40.39553550876285
891,PACIFICO,1,-3.675137363680284,40.401255680712225
941,PINAR DE CHAMARTIN,1,-3.6668070437216334,40.48013291749131
967,PLAZA DE CASTILLA,1,-3.689182340661554,40.466893623466774
1030,PORTAZGO,1,-3.658685211486692,40.3926568047608
1048,PUENTE DE VALLECAS,1,-3.6690617034429036,40.3981918732199
1078,RIOS ROSAS,1,-3.7013322873211663,40.441973758517896
1152,SIERRA DE GUADALUPE,1,-3.624724516699161,40.38216046446645
1162,SOL,1,-3.7032639472488222,40.41687189377045
1262,TETUAN,1,-3.69825834158428,40.46055088842157
1302,TIRSO DE MOLINA,1,-3.704666474578768,40.412340813197176
1402,TRIBUNAL,1,-3.701109289546837,40.42618230502953
1502,VALDEACEDERAS,1,-3.695066466512397,40.46441695832889
1593,VILLA DE VALLECAS,1,-3.621308015889596,40.37959325302986
1601,ALONSO MARTINEZ,10A,-3.6964415981734513,40.42852583791778
1698,AVIACION ESPAÑOLA,10A,-3.7839254186800284,40.383632271282956
1705,BATAN,10A,-3.75311658343704,40.4078551777336
1717,BEGOÑA,10A,-3.6858519004423416,40.48040885601242
1733,COLONIA JARDIN,10A,-3.7746180160605984,40.39697434800015
1747,CUZCO,10A,-3.689862379719021,40.458421129185616
1822,FUENCARRAL,10A,-3.692833839645428,40.49507880631472
1837,GREGORIO MARAÑON,10A,-3.691275897641476,40.43752982644804
1937,LAGO,10A,-3.7356377170839976,40.41640917765352
1959,NUEVOS MINISTERIOS,10A,-3.6924180862691776,40.44657704290261
2048,PLAZA DE ESPAÑA,10A,-3.709704711212932,40.42408480996496
2148,PRINCIPE PIO,10A,-3.720328666004263,40.42102810708947
2199,SANTIAGO BERNABEU,10A,-3.6903820686972315,40.451580204753796
2289,TRES OLIVOS,10A,-3.695209949418144,40.50119961127806
2372,LAS TABLAS,10B,-3.669446787174648,40.50832462832863
2443,MONTECARMELO,10B,-3.6957592776154735,40.50525031559373
2477,RONDA DE LA COMUNICACION,10B,-3.66277826042536,40.51553415823411
2502,ABRANTES,11,-3.72791115890327,40.38082723882115
2508,CARABANCHEL ALTO,11,-3.751916263742287,40.37199788960605
2526,LA PESETA,11,-3.756906023990758,40.364217512605684
2543,PLAZA ELIPTICA,11,-3.7182557200044095,40.38459935886321
2556,SAN FRANCISCO,11,-3.73910622280992,40.37359399926437
2858,ALSACIA,2,-3.6235144027647204,40.418284443909386
2877,AVENIDA DE GUADALAJARA,2,-3.612070828457266,40.422390661721714
2886,BANCO DE ESPAÑA,2,-3.694966494593289,40.41921937328667
2986,CANAL,2,-3.704337220993404,40.43840594045452
3056,GOYA,2,-3.6759123759569374,40.42453956509611
3156,LA ALMUDENA,2,-3.6391475841604057,40.42361352022292
3165,LA ELIPA,2,-3.650528497343345,40.4266131180015
3176,LAS ROSAS,2,-3.603312655422655,40.42374301041612
3189,MANUEL BECERRA,2,-3.6692617275650825,40.42790259126464
3249,NOVICIADO,2,-3.7074256795634835,40.42483751820921
3349,OPERA,2,-3.709429506715207,40.41808648235822
3449,PRINCIPE DE VERGARA,2,-3.6801282562882505,40.42293825869697
3549,QUEVEDO,2,-3.7043420216216063,40.433216719734475
3649,RETIRO,2,-3.6862547889045016,40.420298442434046
3732,SAN BERNARDO,2,-3.7055818156463136,40.43001095773282
3832,SANTO DOMINGO,2,-3.70796634277563,40.42131167732352
3932,SEVILLA,2,-3.699256777934109,40.418049356378106
4032,VENTAS,2,-3.663667689792175,40.43088079412545
4057,ALMENDRALES,3,-3.697892329475578,40.3840934125769
4074,ARGÜELLES,3,-3.715975031788373,40.43065877069208
4135,CALLAO,3,-3.70566714539617,40.420127531994346
4235,CIUDAD DE LOS ANGELES,3,-3.693635291131088,40.359578197527426
4245,DELICIAS,3,-3.69420215115586,40.39989953900073
4297,EMBAJADORES,3,-3.7026819925091385,40.405118619725904
4397,HOSPITAL 12 DE OCTUBRE,3,-3.6958551049681336,40.375024514615504
4413,LAVAPIES,3,-3.700914055876501,40.4085077475188
4503,LEGAZPI,3,-3.6951255513875063,40.391146176794116
4560,MONCLOA,3,-3.7194521744896463,40.43501556410216
4608,PALOS DE LA FRONTERA,3,-3.694234726052655,40.40307053569799
4699,SAN CRISTOBAL,3,-3.693191432961104,40.3415355358706
4705,SAN FERMIN-ORCASUR,3,-3.694177839097669,40.369989491378796
4715,VENTURA RODRIGUEZ,3,-3.7134142861939377,40.427080002151314
4783,VILLAVERDE ALTO,3,-3.711990993449082,40.34122313886692
4792,VILLAVERDE BAJO CRUCE,3,-3.6926513322135466,40.350890273928535
4804,ALFONSO XIII,4,-3.6679186527610965,40.44824371776939
4859,ARTURO SORIA,4,-3.6561881225682944,40.45582440947207
4886,AVENIDA DE AMERICA,4,-3.6766487941815313,40.438030781889246
4929,AVENIDA DE LA PAZ,4,-3.661189835951984,40.45353464957249
4946,CANILLAS,4,-3.635600579737649,40.46380429988093
4991,COLON,4,-3.691010382609426,40.42541427689269
5091,DIEGO DE LEON,4,-3.6749645017347072,40.434671254236825
5191,ESPERANZA,4,-3.645820621327798,40.45944135187602
5199,HORTALEZA,4,-3.6525796374794783,40.47536730266078
5216,LISTA,4,-3.6754163728813936,40.42916409911889
5287,MANOTERAS,4,-3.662905158694452,40.476867092844046
5305,MAR DE CRISTAL,4,-3.6383312545367454,40.46941986762225
5328,PARQUE DE SANTA MARIA,4,-3.6452466617480783,40.47711116792567
5335,PROSPERIDAD,4,-3.6748238288203408,40.444185596768286
5407,SAN LORENZO,4,-3.639582350261602,40.47446698722932
5422,SERRANO,4,-3.6866370317920936,40.425431324777286
5522,VELAZQUEZ,4,-3.6829196009024106,40.42502991887892
5622,ACACIAS,5,-3.7066522311398944,40.40386919094475
5656,ALAMEDA DE OSUNA,5,-3.587529851420831,40.45778836878319
5678,ALUCHE,5,-3.7608096529501776,40.38562451896221
5699,CAMPAMENTO,5,-3.7681359752950083,40.39480136388357
5712,CANILLEJAS,5,-3.608164956973511,40.44942037767125
5724,CARABANCHEL,5,-3.7448816604389195,40.38781832385251
5739,CHUECA,5,-3.6976215653090696,40.42292411564185
5839,CIUDAD LINEAL,5,-3.638164089763644,40.43804242659882
5872,EL CAPRICHO,5,-3.5940139675362324,40.453466938879366
5889,EL CARMEN,5,-3.6575823653676434,40.43188854347103
5934,EMPALME,5,-3.7653543590645233,40.39056753293377
5957,EUGENIA DE MONTIJO,5,-3.7512174724118132,40.38438091577908
5965,LA LATINA,5,-3.7081675783047374,40.4112743722751
6065,MARQUES DE VADILLO,5,-3.715963813197224,40.39735240863037
6091,NUÑEZ DE BALBOA,5,-3.6825853552836967,40.43277965882792
6191,OPORTO,5,-3.731327675889255,40.38846340308106
6205,PIRAMIDES,5,-3.711388073763649,40.402596899905255
6266,PUEBLO NUEVO,5,-3.642834403605826,40.435692221220776
6306,PUERTA DE TOLEDO,5,-3.711057633812725,40.40703138929742
6353,QUINTANA,5,-3.647365166136872,40.43357684329915
6384,RUBEN DARIO,5,-3.6895451263646835,40.43315277114287
6484,SUANZES,5,-3.626847447076172,40.44084308870699
6513,TORRE ARIAS,5,-3.6170047299183135,40.443742894291184
6520,URGEL,5,-3.723615630429613,40.393349794539645
6531,VISTA ALEGRE,5,-3.7398266451178808,40.388841774504186
6551,ALTO DE EXTREMADURA,6,-3.738937772474832,40.40991964465943
6565,ARGANZUELA-PLANETARIO,6,-3.6886414650639283,40.39309490002911
6597,CARPETANA,6,-3.74100000338481,40.392699152623656
6604,CIUDAD UNIVERSITARIA,6,-3.726795069432717,40.44355521068528
6612,CONDE DE CASAL,6,-3.670409622513098,40.40696791355658
6658,GUZMAN EL BUENO,6,-3.7122973578860115,40.44635715962408
6687,LAGUNA,6,-3.744300361169432,40.39922754347372
6698,LUCERO,6,-3.745343133463092,40.405094727976405
6709,MENDEZ ALVARO,6,-3.6781422464152858,40.395373186053256
6736,METROPOLITANO,6,-3.719432369777448,40.44643009120298
6741,O'DONNELL,6,-3.6685990513216953,40.42288839037709
6787,OPAÑEL,6,-3.723134262030649,40.38690230656425
6798,PUERTA DEL ANGEL,6,-3.7272419555741436,40.413894717383116
6826,REPUBLICA ARGENTINA,6,-3.684064545714558,40.443788941460426
6859,SAINZ DE BARANDA,6,-3.669523455578141,40.41506318581949
6894,USERA,6,-3.7069010072851833,40.38709277398245
6909,ALONSO CANO,7A,-3.6992550788031178,40.438373729875
6963,ANTONIO MACHADO,7A,-3.7177043655225055,40.47021551543151
6974,ASCAO,7A,-3.6410608382789014,40.4301975485955
6987,AVDA. DE LA ILUSTRACION,7A,-3.7184112591111615,40.48009393979854
7001,BARRIO DE LA CONCEPCION,7A,-3.652004710876878,40.4390913221314
7023,CARTAGENA,7A,-3.6721577545084036,40.43933626219725
7056,ESTADIO OLIMPICO,7A,-3.6001566460057206,40.433390115428594
7065,FRANCOS RODRIGUEZ,7A,-3.712392392186851,40.45647366576084
7085,GARCIA NOBLEJAS,7A,-3.6333103671517417,40.4284204389523
7101,ISLAS FILIPINAS,7A,-3.71374135431468,40.43905997233827
7142,LACOMA,7A,-3.723053448492279,40.48501089648855
7159,LAS MUSAS,7A,-3.6078871300557416,40.43298035455762
7168,PARQUE DE LAS AVENIDAS,7A,-3.662973683741616,40.439443351234395
7187,PEÑAGRANDE,7A,-3.7158303579251375,40.475920794508795
7215,SIMANCAS,7A,-3.625725983210804,40.42798425779679
7220,VALDEZARZA,7A,-3.7159837953806902,40.464820810147145
7275,AEROPUERTO T1 T2 T3,8,-3.5695410675308468,40.468644167154046
7310,AEROPUERTO T4,8,-3.593254085368613,40.491759039636115
7344,BARAJAS,8,-3.5825311260580377,40.475768604419436
7363,CAMPO DE LAS NACIONES,8,-3.616210052023946,40.46389128127541
7374,COLOMBIA,8,-3.676832402038624,40.456336002823406
7435,PINAR DEL REY,8,-3.648674574750905,40.467992917343715
7450,ARTILLEROS,9A,-3.6418137462853575,40.40522025828109
7461,BARRIO DEL PILAR,9A,-3.703170082953557,40.47688138899434
7495,CONCHA ESPINA,9A,-3.6773847300795515,40.451440884039954
7540,CRUZ DEL RAYO,9A,-3.678220651650197,40.44426481662303
7596,DUQUE DE PASTRANA,9A,-3.6791750808454435,40.46761952315197
7604,ESTRELLA,9A,-3.6617915330011215,40.41146804102253
7622,HERRERA ORIA,9A,-3.70752239383905,40.484656572327964
7640,IBIZA,9A,-3.6785854582722304,40.418388748041785
7685,MIRASIERRA,9A,-3.71635730886455,40.49108857754821
7692,PACO DE LUCIA,9A,-3.709084232835683,40.499646860142015
7706,PAVONES,9A,-3.6351227460093773,40.40050941790844
7713,PIO XII,9A,-3.675802343419993,40.46299966943853
7734,SAN CIPRIANO,9A,-3.602404004973017,40.40381066236725
7745,VALDEBERNARDO,9A,-3.6215666770605437,40.40004253874335
7757,VENTILLA,9A,-3.695884900062436,40.46943002884864
7766,VICALVARO,9A,-3.6088656317893952,40.4042092535065
7778,VINATEROS,9A,-3.652739766845656,40.41024020995498
7836,FUENTE DE LA MORA,C-1,-3.662829237134829,40.484741355889604
7854,RECOLETOS,C-1,-3.6908601632799374,40.42340615992542
7958,ARAVACA,C-10,-3.785867623306033,40.4483218454516
7975,"BARRIAL-C.COM.POZUELO, EL",C-10,-3.8077462504578414,40.46536911220596
8086,ASAMBLEA DE MADRID-ENTREVIAS,C-2,-3.668014615023188,40.38166623843375
8140,SANTA EUGENIA,C-2,-3.6090639338426205,40.386982804664136
8169,VALLECAS,C-2,-3.6245600075556976,40.382206398678925
8219,RAMON Y CAJAL,C-3,-3.694745799781866,40.48823855927128
8252,VILLAVERDE BAJO,C-3,-3.6839904315941423,40.35263553750056
8284,CANTOBLANCO UNIVERSIDAD,C-4A,-3.7003500835389462,40.54378058046952
8386,"AGUILAS, LAS",C-5,-3.780280303693509,40.38117943069571
8413,DOCE DE OCTUBRE,C-5,-3.6986167964348917,40.37895385196138
8424,FANJUL,C-5,-3.768574728023284,40.38364522762785
8506,PUENTE ALCOCER,C-5,-3.7051623461266345,40.350283132442506
0,place1,place1,-3.645917,40.433487
29,place2,place2,-3.6652970000000002,40.400732
54,place3,place3,-3.674936,40.446905
